Company Name,Fuente,Brand,Fuente,Website,Fuente,CIF (Fiscal Number in Spain),Fuente,Phone number,Fuente,Company email,Fuente,Industry,Fuente,Contacts,Fuente,Contact's Title,Fuente,Linkedin,Fuente,Facebook,Fuente,Twitter,Fuente,Instagram,Fuente,City,Fuente,Facturacion,Fuente,Empleados,Fuente
216 INNOVA S L ,http://www.axesor.es/Informes-Empresas/5774996/216INNOVA24H_SL.html,,,,,B27422526 ,https://www.infoempresa.com/es-es/es/empresa/noa-innova-sl,,,,,COMERCIO AL POR MENOR DE REPUESTOS Y ACCESORIOS DE VEHÍCULOS DE MOTOR ,https://guiaempresas.universia.es/216INNOVA24H.html,,,,,,,,,,,,,AZNALCOLLAR ,https://guiaempresas.universia.es/216INNOVA24H.html,MENOR DE 300 MIL  ,https://guiaempresas.universia.es/216INNOVA24H.html,MENOS DE 5 ,https://guiaempresas.universia.es/216INNOVA24H.html
3ASIDE CONSULTORS SL ,http://www.axesor.es/Informes-Empresas/6529770/3ASIDE_CONSULTORS_SL.html,,,www.3aside.es,http://www.infocif.es/ficha-empresa/3aside-consultors-sl,B65328197 ,http://www.infocif.es/ficha-empresa/3aside-consultors-sl,934449977,https://guiaempresas.universia.es/3ASIDE-CONSULTORS.html,info@3aside.es,https://empresite.eleconomista.es/3ASIDE-CONSULTORS.html,ACTIVIDADES DE CONSULTORÍA INFORMÁTICA ,https://guiaempresas.universia.es/3ASIDE-CONSULTORS.html,OLIVA DE LA ESPERANZA ANTONIO MARIA ,http://www.infocif.es/ficha-empresa/3aside-consultors-sl,ADMINISTRADOR ÚNICO ,http://www.infocif.es/ficha-empresa/3aside-consultors-sl,,,,,,,,,BARCELONA ,https://guiaempresas.universia.es/3ASIDE-CONSULTORS.html,"ENTRE 1,5 Y 3 MILLONES  ",https://guiaempresas.universia.es/3ASIDE-CONSULTORS.html,ENTRE 50 Y 250 ,https://guiaempresas.universia.es/3ASIDE-CONSULTORS.html
AALCO SL ,http://www.axesor.es/Informes-Empresas/208191/AALCO_SL.html,,,www.aalco.es,http://www.infocif.es/ficha-empresa/aalco-sl,B08373177 ,http://www.infocif.es/ficha-empresa/aalco-sl,971800435,https://guiaempresas.universia.es/SLYM.html,aalco@aalco.es,https://empresite.eleconomista.es/AALCO.html,LIMPIEZA GENERAL DE EDIFICIOS ,https://guiaempresas.universia.es/SLYM.html,PHILIPPE FERRIOL ,http://www.infocif.es/ficha-empresa/aalco-sl,ADMINISTRADOR SOLIDARIO ,http://www.infocif.es/ficha-empresa/aalco-sl,,,,,,,,,SANT JOSEP DE SA TALAIA ,https://guiaempresas.universia.es/SLYM.html,MENOS DE 2 MILLONES DE  ,https://www.infoempresa.com/es-es/es/empresa/aalco-sl,ENTRE 10 Y 49 ,https://www.infoempresa.com/es-es/es/empresa/aalco-sl
ACE EDIFICACION S L ,http://www.axesor.es/Informes-Empresas/226457/ACE_EDIFICACION_SL.html,,,www.aceedificacion.es,http://www.infocif.es/ficha-empresa/ace-edificacion-sl,B30168058 ,http://www.infocif.es/ficha-empresa/ace-edificacion-sl,968215543,http://www.infocif.es/ficha-empresa/ace-edificacion-sl,,https://www.google.com/Actividad/?q=Email+%22ACE+EDIFICACION+SL%22,OTROS ALOJAMIENTOS ,https://guiaempresas.universia.es/ACENTORURAL-SLNE.html,JOSE ANTONIO MARTINEZ RIQUELME ,http://www.infocif.es/ficha-empresa/ace-edificacion-sl,ADMINISTRADOR UNICO ,http://www.infocif.es/ficha-empresa/ace-edificacion-sl,,,,,,,,,SEVILLA ,https://guiaempresas.universia.es/ACENTORURAL-SLNE.html,MENOR DE 300 MIL  ,https://guiaempresas.universia.es/ACENTORURAL-SLNE.html,MENOS DE 5 ,https://guiaempresas.universia.es/ACENTORURAL-SLNE.html
ACONSSA ,http://www.axesor.es/Informes-Empresas/423285/APAREJADORES_CONSTRUCTORES_SA.html,,,,,B86761939 ,https://www.infoempresa.com/es-es/es/empresa/fja-consultoria-estrategica-latinoamerica-sl,,,,,OTRAS ACTIVIDADES ASOCIATIVAS N.C.O.P. ,https://guiaempresas.universia.es/ANCODARQ-ACONSSA-EJA-ANIMALARIO-ALGETE-UTE.html,,,,,,,,,,,,,TALAMANCA DE JARAMA ,https://guiaempresas.universia.es/ANCODARQ-ACONSSA-EJA-ANIMALARIO-ALGETE-UTE.html,MENOS DE 2 MILLONES DE  ,https://www.infoempresa.com/es-es/es/empresa/fja-consultoria-estrategica-latinoamerica-sl,ENTRE 1 Y 9 ,https://www.infoempresa.com/es-es/es/empresa/fja-consultoria-estrategica-latinoamerica-sl
ACTIA SOURCING SOLUTIONS S L ,http://www.axesor.es/Informes-Empresas/2315122/ACTIA_SOURCING__SOLUTIONS_SL.html,,,actics.es,https://www.infoempresa.com/es-es/es/empresa/tactics-europe-sa,B62631775 ,http://www.infocif.es/ficha-empresa/actia-sourcing-solutions-sl,934334153,https://guiaempresas.universia.es/ACTIA-SOURCING-SOLUTIONS.html,info@motola.es,https://empresite.eleconomista.es/DELANTEIM-SOURCING.html,INTERMEDIARIOS DEL COMERCIO DE PRODUCTOS DIVERSOS ,https://guiaempresas.universia.es/ACTIA-SOURCING-SOLUTIONS.html,BIS BARROFET FRANCESC XAVIER ,http://www.infocif.es/ficha-empresa/actia-sourcing-solutions-sl,APODERADO ,http://www.infocif.es/ficha-empresa/actia-sourcing-solutions-sl,,,,,,,,,BARCELONA ,https://guiaempresas.universia.es/ACTIA-SOURCING-SOLUTIONS.html,ENTRE 3 Y 6 MILLONES  ,https://guiaempresas.universia.es/ACTIA-SOURCING-SOLUTIONS.html,ENTRE 5 Y 25 ,https://guiaempresas.universia.es/ACTIA-SOURCING-SOLUTIONS.html
ACTREN MANTENIMIENTO FERROVIA S A ,http://www.axesor.es/Informes-Empresas/5192706/ACTREN_MANTENIMIENTO_FERROVIARIO_SA.html,,,www.actren.es,http://www.axesor.es/Informes-Empresas/5192706/ACTREN_MANTENIMIENTO_FERROVIARIO_SA.html,B83596981 ,https://www.infoempresa.com/es-es/es/empresa/mayte-enmarcacion-sl,915010396,https://guiaempresas.universia.es/ACTREN-MANTENIMIENTO-FERROVIARIO.html,actren@actren.net,http://www.axesor.es/Informes-Empresas/5192706/ACTREN_MANTENIMIENTO_FERROVIARIO_SA.html,REPARACIÓN Y MANTENIMIENTO DE OTRO MATERIAL DE TRANSPORTE ,https://guiaempresas.universia.es/ACTREN-MANTENIMIENTO-FERROVIARIO.html,,,,,,,,,,,,,MADRID ,https://guiaempresas.universia.es/ACTREN-MANTENIMIENTO-FERROVIARIO.html,MAYOR DE 30 MILLONES  ,https://guiaempresas.universia.es/ACTREN-MANTENIMIENTO-FERROVIARIO.html,MÁS DE 250 ,https://guiaempresas.universia.es/ACTREN-MANTENIMIENTO-FERROVIARIO.html
ACTUA Y RENUEVA 65 SL ,http://www.axesor.es/Informes-Empresas/9842049/ACTUA_Y_RENUEVA_65_SL.html,,,,,B88498274 ,http://www.axesor.es/Informes-Empresas/9842049/ACTUA_Y_RENUEVA_65_SL.html,,,,,INTERMEDIARIOS DEL COMERCIO DE PRODUCTOS DIVERSOS ,https://guiaempresas.universia.es/ACTUA-RENUEVA-65.html,ZURITARODRIGUEZ RESTITUTO ,http://www.infocif.es/ficha-empresa/actua-y-renueva-65-sl,ADMINISTRADOR UNICO ,http://www.infocif.es/ficha-empresa/actua-y-renueva-65-sl,,,,,,,,,MOSTOLES ,https://guiaempresas.universia.es/ACTUA-RENUEVA-65.html,,,,
ACUNETIX LTD ,http://www.axesor.es/Informes-Empresas/9624309/INNOVAFRUIT_VIVEROS_SOCIEDAD_LIMITADA.html,,,www.u-shin-ltd.com,https://empresite.eleconomista.es/BARENTS-INVERSIONES-2012.html,B17584673 ,https://www.infoempresa.com/es-es/es/empresa/tuneti-sl,951703124,https://guiaempresas.universia.es/LTDTEL.html,pierre.croubois@g-ushin.com,https://empresite.eleconomista.es/BARENTS-INVERSIONES-2012.html,OTROS SERVICIOS PERSONALES N.C.O.P. ,https://guiaempresas.universia.es/LTDTEL.html,,,,,,,,,,,,,MARBELLA ,https://guiaempresas.universia.es/LTDTEL.html,"ENTRE 1,5 Y 3 MILLONES  ",https://guiaempresas.universia.es/LTDTEL.html,MENOS DE 5 ,https://guiaempresas.universia.es/LTDTEL.html
ADATIO SISTEMAS S L ,http://www.axesor.es/Informes-Empresas/745220/ADATIO_SISTEMAS_SL.html,,,www.adatio.es,http://www.infocif.es/ficha-empresa/adatio-sistemas-sl,B80981137 ,http://www.infocif.es/ficha-empresa/adatio-sistemas-sl,917320238,https://guiaempresas.universia.es/ADATIO-SISTEMAS.html,qgi@quarkcom.es,http://www.axesor.es/Informes-Empresas/745220/ADATIO_SISTEMAS_SL.html,ACTIVIDADES DE CONSULTORÍA INFORMÁTICA ,https://guiaempresas.universia.es/ADATIO-SISTEMAS.html,TUÑON DE HITA ALONSO ,http://www.infocif.es/ficha-empresa/adatio-sistemas-sl,ADMINISTRADOR UNICO ,http://www.infocif.es/ficha-empresa/adatio-sistemas-sl,,,,,,,,,MADRID ,https://guiaempresas.universia.es/ADATIO-SISTEMAS.html,"ENTRE 1,5 Y 3 MILLONES  ",https://guiaempresas.universia.es/ADATIO-SISTEMAS.html,ENTRE 5 Y 25 ,https://guiaempresas.universia.es/ADATIO-SISTEMAS.html
